node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
bla-B1	NA	NA	NA	NA	Listeria monocytogenes_B	0	1	1	3.340236488743403e-5	29938
blaACT	NA	NA	NA	NA	Enterobacter hormaechei_A;Listeria monocytogenes_B	0	1	1	1	1
blaPSE	NA	NA	NA	NA	Listeria monocytogenes;Salmonella enterica	0	1	1	0.2	5
blaTEM	NA	NA	NA	NA	Listeria monocytogenes;Salmonella enterica	0	1	1	0.2	5
blaTEM	NA	NA	NA	NA	Listeria monocytogenes_C	0	1	1	0.006024096385542169	166
ble	NA	NA	NA	NA	Listeria monocytogenes_B	0	1	1	3.340236488743403e-5	29938
catA	NA	NA	NA	NA	Listeria monocytogenes;Salmonella enterica	0	1	1	0.2	5
cmlA	NA	NA	NA	NA	Listeria monocytogenes_B;Salmonella enterica	0	1	1	0.06666666666666667	15
dfrA	NA	NA	NA	NA	Listeria monocytogenes_B;Salmonella enterica	0	1	1	0.06666666666666667	15
dfr_DGK	NA	NA	NA	NA	Listeria aquatica	0	1	1	0.25	4
fosA_gen	NA	NA	NA	NA	Enterobacter hormaechei_A;Listeria monocytogenes_B	0	1	1	1	1
fosX_gen	NA	NA	NA	NA	Enterobacter hormaechei_A;Listeria monocytogenes_B	0	1	1	1	1
fosX_gen	NA	NA	NA	NA	Listeria innocua;Listeria monocytogenes_B	0	1	1	1	1
fosX_gen	NA	NA	NA	NA	Listeria monocytogenes;Salmonella houtenae	0	1	1	1	1
lnu_BFG	NA	NA	NA	NA	Listeria kieliensis_A	0	1	1	0.3333333333333333	3
lnu_BFG	NA	NA	NA	NA	Listeria monocytogenes_B	0	1	1	3.340236488743403e-5	29938
lsa	NA	NA	NA	NA	Listeria kieliensis_A	0	1	1	0.3333333333333333	3
mef_gen	NA	NA	NA	NA	Listeria monocytogenes	0	1	1	3.438434824467902e-5	29083
mef_gen	NA	NA	NA	NA	Listeria monocytogenes_B;Salmonella enterica	0	1	1	0.06666666666666667	15
msr	NA	NA	NA	NA	Listeria monocytogenes	0	1	1	3.438434824467902e-5	29083
qnrA	NA	NA	NA	NA	Listeria monocytogenes_B;Salmonella enterica	0	1	1	0.06666666666666667	15
tet(M-W-O-S)	NA	NA	NA	NA	Enterobacter hormaechei_A;Listeria monocytogenes_B	0	1	1	1	1
tet(M-W-O-S)	NA	NA	NA	NA	Listeria welshimeri	0	1	1	0.0032679738562091504	306
tet_L_K_45	NA	NA	NA	NA	Listeria fleischmannii	0	1	1	0.0625	16
vat	NA	NA	NA	NA	Listeria innocua	0	1	1	6.464124111182935e-4	1547
vga	NA	NA	NA	NA	Enterobacter hormaechei_A;Listeria monocytogenes_B	0	1	1	1	1
vga	NA	NA	NA	NA	Listeria innocua;Listeria monocytogenes_B	0	1	1	1	1
vga	NA	NA	NA	NA	Listeria monocytogenes;Salmonella houtenae	0	1	1	1	1
