node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
ompK36	NA	ompK36_Q313STOP	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
pmrB	NA	pmrB_T140P	COLISTIN	COLISTIN	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
aac(6')-set_A	NA	NA	NA	NA	Klebsiella variicola	0	2	2	8.250825082508251e-4	2424
bla	NA	NA	NA	NA	Klebsiella variicola	0	2	2	8.250825082508251e-4	2424
blaOXA-2_fam	NA	NA	NA	NA	Klebsiella variicola	0	2	2	8.250825082508251e-4	2424
blaVEB	NA	NA	NA	NA	Klebsiella variicola	0	2	2	8.250825082508251e-4	2424
dfrB	NA	NA	NA	NA	Klebsiella variicola	0	2	2	8.250825082508251e-4	2424
fos_A3_A4	NA	NA	NA	NA	Klebsiella variicola	0	2	2	8.250825082508251e-4	2424
aac(3)-IVa	aac(3)_IV_fam	aac(3)-IVa	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
aac(3)-Ib	aac(3)-I	aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
aac(6')-Ib-D181Y	aac(6')-Ib	aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
aac(6')-Ib11	aac(6')-Ib-AGKT	aac(6')-Ib11	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
aadA11	ant(3'')-Ia	aadA11	AMINOGLYCOSIDE	STREPTOMYCIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
aph(3')-IId	aph(3')-II	aph(3')-IId	AMINOGLYCOSIDE	KANAMYCIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaOKP-B	blaOKP	blaOKP-B	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
cmlA4	cmlA	cmlA4	PHENICOL	CHLORAMPHENICOL	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
dfrA25	dfrA	dfrA25	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
dfrA32	dfrA	dfrA32	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
dfrB1	dfrB	dfrB1	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
pmrA	MFS_efflux	pmrA_G53S	COLISTIN	COLISTIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
aph(4)-Ia	aph(4)-I	aph(4)-Ia	AMINOGLYCOSIDE	HYGROMYCIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
lnu(F)	lnu_BFG	lnu(F)	LINCOSAMIDE	LINCOSAMIDE	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
qnrD	qnr	qnrD	QUINOLONE	QUINOLONE	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaCTX-M-10	blaCTX-M	blaCTX-M-10	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaCTX-M-65	blaCTX-M	blaCTX-M-65	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaSFO-1	blaFONA	blaSFO-1	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaGES-6	blaGES	blaGES-6	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaIMI-2	blaIMI	blaIMI-2	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaIMP-8	blaIMP	blaIMP-8	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaKPC-31	blaKPC	blaKPC-31	BETA-LACTAM	CEFIDEROCOL/CEPHALOSPORIN	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaKPC-4	blaKPC	blaKPC-4	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
blaLAP-1	blaLAP	blaLAP-1	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	1	0	1	4.1254125412541255e-4	2424
