Sample	BioSample	BioProject	MLST2	Amikacin call	Amikacin MIC	Gentamicin call	Gentamicin MIC	Tobramycin call	Tobramycin MIC	Ampicillin call	Ampicillin MIC	Amoxicillin-clavulanate call	Amoxicillin-clavulanate MIC	Piperacillin-tazobactam call	Piperacillin-tazobactam MIC	Cafazolin call	Cafazolin MIC	Cefepime call	Cefepime MIC	Ceftazidime call	Ceftazidime MIC	Ceftriaxone call	Ceftriaxone MIC	Ertapenem call	Ertapenem MIC	Imipenem call	Imipenem MIC	Meropenem call	Meropenem MIC	Aztreonam call	Aztreonam MIC	Ciprofloxacin call	Ciprofloxacin MIC	Levofloxacin call	Levofloxacin MIC	Trimethoprim-sulfamethoxazole call	Trimethoprim-sulfamethoxazole MIC	Tetracycline call	Tetracycline MIC
705011	SAMN26308797	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	>16	I	8	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	S	²0.5/9.5	S	²2
705087	SAMN26304574	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	>16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	S	²0.5/9.5	S	²2
705109	SAMN26308484	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	S	²4/2	S	²2/4	R	>16	R	>16	I	8	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	S	²0.5	S	²1	R	>2/38	R	>8
709067	SAMN26305029	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	I	16/8	I	32/4	R	16	S	²1	S	²2	S	²1	S	²0.25	S	²0.25	S	²0.25	S	²2	S	²0.5	S	²1	R	>2/38	R	>8
709815	SAMN26308798	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	I	16/8	R	>64/4	R	>16	S	²1	S	²2	S	²1	S	²0.25	S	²0.25	S	²0.25	S	²2	R	>2	R	>4	R	>2/38	R	>8
730349	SAMN26308475	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	I	16/8	S	²2/4	R	>16	S	²1	S	²2	S	²1	S	²0.25	S	²0.25	S	²0.25	S	²2	R	>2	S	2	R	>2/38	R	>8
730445	SAMN26308803	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	8/4	S	²2/4	R	>16	R	16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
730461	SAMN26308813	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	8/4	S	²2/4	R	>16	R	16	I	8	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
747979	SAMN26308823	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	8/4	S	²2/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
747995	SAMN26308824	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	8/4	S	²2/4	R	>16	R	16	R	16	R	>32	S	²0.25	S	0.5	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
756419	SAMN26304552	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	I	16/8	S	²2/4	R	8	S	²1	S	²2	S	²1	S	²0.25	S	²0.25	S	²0.25	S	²2	R	>2	R	>4	R	>2/38	R	>8
756435	SAMN26308831	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	>16	I	8	R	>32	S	²0.25	S	²0.25	S	²0.25	R	16	R	>2	R	>4	S	²0.5/9.5	S	²2
766373	SAMN26308836	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	²2/4	R	>16	S	2	S	4	R	>32	S	²0.25	S	0.5	S	²0.25	I	8	R	>2	R	>4	S	²0.5/9.5	S	²2
766541	SAMN26308849	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	I	16/8	I	32/4	R	8	S	²1	S	²2	S	²1	S	²0.25	S	²0.25	S	²0.25	S	²2	S	²0.5	S	²1	R	>2/38	R	>8
771779	SAMN26308880	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	²4/2	S	²2/4	R	>16	I	4	S	²2	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	R	>2/38	R	>8
780227	SAMN26308491	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	²4/2	S	²2/4	R	>16	R	>16	S	4	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
807710	SAMN26304933	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	²4/2	S	²2/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
807786	SAMN26308885	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	²4/2	S	²2/4	R	>16	I	4	S	4	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	R	>2/38	R	>8
824190	SAMN26308496	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	²4/2	S	²2/4	R	>16	R	>16	I	8	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	R	>2/38	R	>8
824238	SAMN26308497	PRJNA809394	131	S	²8	S	²2	S	²2	R	>16	S	²4/2	S	8/4	R	>16	R	>16	S	4	R	>32	S	²0.25	S	²0.25	S	²0.25	R	16	R	>2	R	>4	R	>2/38	R	>8
824262	SAMN26308993	PRJNA809394	156	S	²8	S	²2	S	²2	R	>16	S	8/4	S	²2/4	R	>16	R	>16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	I	2	S	²1	R	>2/38	R	>8
747881	SAMN26304549	PRJNA809394	393	S	²8	S	²2	S	²2	R	>16	S	8/4	S	²2/4	R	>16	I	8	S	4	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	R	>2/38	R	>8
756241	SAMN26304533	PRJNA809394	429	S	²8	R	>8	S	²2	R	>16	R	>16/8	S	8/4	R	>16	S	²1	R	>16	R	16	S	²0.25	S	²0.25	S	²0.25	I	8	S	²0.5	S	²1	S	²0.5/9.5	R	>8
824342	SAMN26304534	PRJNA809394	429	S	²8	R	>8	S	4	R	>16	R	>16/8	S	8/4	R	>16	S	²1	R	>16	R	32	S	²0.25	S	²0.25	S	²0.25	I	8	S	²0.5	S	²1	S	²0.5/9.5	R	>8
792961	SAMN26308702	PRJNA809394	636	S	²8	S	²2	S	²2	R	>16	R	>16/8	S	16/4	R	>16	R	16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	S	1	S	²1	R	>2/38	R	>8
730517	SAMN26308455	PRJNA809394	648	S	²8	S	²2	S	²2	R	>16	I	16/8	S	8/4	R	>16	R	>16	R	>16	R	>32	S	0.5	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	S	²0.5/9.5	R	>8
766269	SAMN26305207	PRJNA809394	648	S	²8	S	²2	S	²2	R	>16	S	8/4	S	²2/4	R	>16	R	>16	I	8	R	>32	S	²0.25	S	0.5	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
750503	SAMN26309366	PRJNA809394	744	S	²8	S	²2	S	²2	R	>16	I	16/8	I	32/4	R	16	S	²1	S	²2	S	²1	S	²0.25	S	0.5	S	²0.25	S	²2	R	>2	R	>4	R	>2/38	R	>8
748011	SAMN26305166	PRJNA809394	963	S	²8	S	4	S	4	R	>16	R	>16/8	I	32/4	R	>16	S	2	R	>16	R	>32	I	1	I	2	S	²0.25	R	>16	S	²0.5	S	²1	S	²0.5/9.5	S	²2
